"","DATE","hw","prix_prod","pce","Variation_pce","Variation_prix_prod","Variation_hw","U_gap","U_gap_lag1","hw_lag1","pce_lag1","U_gap_lag2","hw_lag2","pce_lag2","U_gap_lag3","hw_lag3","pce_lag3","U_gap_lag4","hw_lag4","pce_lag4","U_gap_lag5","hw_lag5","pce_lag5","U_gap_lag6","hw_lag6","pce_lag6","U_gap_lag7","hw_lag7","pce_lag7","U_gap_lag8","hw_lag8","pce_lag8","Variation_pce_shifted","prix_prod_lag1","prix_prod_lag2","prix_prod_lag3","prix_prod_lag4","prix_prod_lag5","prix_prod_lag6","prix_prod_lag7","prix_prod_lag8","Variation_pp_shifted"
"1",1977-01-01,5.21399574714866,31.4858234407576,27.908768796451,1.76551767587789,1.59136992669293,3.55975345500019,-1.27037991702766,-1.46386000288715,3.48291013512485,2.54480607672618,-1.35968203607596,3.50659277649223,2.38540346122358,-1.15784601659407,3.17592310134118,2.18333043723897,-1.05835194444149,2.42059836049591,2.56372498439219,-1.06119981961823,2.47435599889365,2.07365690058667,-1.15853144184149,3.46810538071087,2.10343335755583,-1.2503468111113,4.70653447605545,2.57584529979973,-1.43664592742765,5.84112442096112,2.92602592360958,3.74306969788898,2.61005765896232,2.76049167239196,2.97092216485557,2.86398067234885,2.40696327438414,2.20004297988183,1.37778631181833,2.22319517385088,1.8984297389971
"2",1977-04-01,5.38036587574715,32.1217198967794,28.6979016958896,2.82754465162567,2.01962784050485,3.19083744342279,-1.07337151587266,-1.27037991702766,3.55975345500019,1.76551767587789,-1.46386000288715,3.48291013512485,2.54480607672618,-1.35968203607596,3.50659277649223,2.38540346122358,-1.15784601659407,3.17592310134118,2.18333043723897,-1.05835194444149,2.42059836049591,2.56372498439219,-1.06119981961823,2.47435599889365,2.07365690058667,-1.15853144184149,3.46810538071087,2.10343335755583,-1.2503468111113,4.70653447605545,2.57584529979973,2.94311109807595,1.59136992669293,2.61005765896232,2.76049167239196,2.97092216485557,2.86398067234885,2.40696327438414,2.20004297988183,1.37778631181833,2.61942926286183
"3",1977-07-01,5.55050754173265,32.6210845163493,29.3222359402273,2.17553969957023,1.55460112713339,3.16226944253819,-1.07283479942216,-1.07337151587266,3.19083744342279,2.82754465162567,-1.27037991702766,3.55975345500019,1.76551767587789,-1.46386000288715,3.48291013512485,2.54480607672618,-1.35968203607596,3.50659277649223,2.38540346122358,-1.15784601659407,3.17592310134118,2.18333043723897,-1.05835194444149,2.42059836049591,2.56372498439219,-1.06119981961823,2.47435599889365,2.07365690058667,-1.15853144184149,3.46810538071087,2.10343335755583,2.98674202528542,2.01962784050485,1.59136992669293,2.61005765896232,2.76049167239196,2.97092216485557,2.86398067234885,2.40696327438414,2.20004297988183,2.92751496934653
"4",1977-10-01,5.75182880795564,33.1202172901781,29.8164068294682,1.68531107330345,1.53009251908396,3.62707850965542,-1.26876976767617,-1.07283479942216,3.16226944253819,2.17553969957023,-1.07337151587266,3.19083744342279,2.82754465162567,-1.27037991702766,3.55975345500019,1.76551767587789,-1.46386000288715,3.48291013512485,2.54480607672618,-1.35968203607596,3.50659277649223,2.38540346122358,-1.15784601659407,3.17592310134118,2.18333043723897,-1.05835194444149,2.42059836049591,2.56372498439219,-1.06119981961823,2.47435599889365,2.07365690058667,3.01894350038454,1.55460112713339,2.01962784050485,1.59136992669293,2.61005765896232,2.76049167239196,2.97092216485557,2.86398067234885,2.40696327438414,2.63669728183193
"5",1978-01-01,6.02884221379192,33.7374296682719,30.2601446644511,1.48823376847802,1.86355171732775,4.81609267391838,-1.46117642063467,-1.26876976767617,3.62707850965542,1.68531107330345,-1.07283479942216,3.16226944253819,2.17553969957023,-1.07337151587266,3.19083744342279,2.82754465162567,-1.27037991702766,3.55975345500019,1.76551767587789,-1.46386000288715,3.48291013512485,2.54480607672618,-1.35968203607596,3.50659277649223,2.38540346122358,-1.15784601659407,3.17592310134118,2.18333043723897,-1.05835194444149,2.42059836049591,2.56372498439219,3.36255728401338,1.53009251908396,1.55460112713339,2.01962784050485,1.59136992669293,2.61005765896232,2.76049167239196,2.97092216485557,2.86398067234885,4.13729174972686
"6",1978-04-01,6.20244654767868,34.5618630099157,31.0057747834456,2.46406660398582,2.4436756141478,2.87956340090663,-1.55581971356407,-1.46117642063467,4.81609267391838,1.48823376847802,-1.26876976767617,3.62707850965542,1.68531107330345,-1.07283479942216,3.16226944253819,2.17553969957023,-1.07337151587266,3.19083744342279,2.82754465162567,-1.27037991702766,3.55975345500019,1.76551767587789,-1.46386000288715,3.48291013512485,2.54480607672618,-1.35968203607596,3.50659277649223,2.38540346122358,-1.15784601659407,3.17592310134118,2.18333043723897,3.1145341062969,1.86355171732775,1.53009251908396,1.55460112713339,2.01962784050485,1.59136992669293,2.61005765896232,2.76049167239196,2.97092216485557,2.61899455824262
"7",1978-07-01,6.3882315822685,35.3428514235163,31.8925922371362,2.86016866175531,2.2596826258368,2.9953508371523,-1.35269964646435,-1.55581971356407,2.87956340090663,2.46406660398582,-1.46117642063467,4.81609267391838,1.48823376847802,-1.26876976767617,3.62707850965542,1.68531107330345,-1.07283479942216,3.16226944253819,2.17553969957023,-1.07337151587266,3.19083744342279,2.82754465162567,-1.27037991702766,3.55975345500019,1.76551767587789,-1.46386000288715,3.48291013512485,2.54480607672618,-1.35968203607596,3.50659277649223,2.38540346122358,3.89007692616001,2.4436756141478,1.86355171732775,1.53009251908396,1.55460112713339,2.01962784050485,1.59136992669293,2.61005765896232,2.76049167239196,2.66252144531509
"8",1978-10-01,6.57615607504818,35.9566886839614,32.6376211918381,2.33605643957149,1.73680740438702,2.94172949680314,-1.25181621933553,-1.35269964646435,2.9953508371523,2.86016866175531,-1.55581971356407,2.87956340090663,2.46406660398582,-1.46117642063467,4.81609267391838,1.48823376847802,-1.26876976767617,3.62707850965542,1.68531107330345,-1.07283479942216,3.16226944253819,2.17553969957023,-1.07337151587266,3.19083744342279,2.82754465162567,-1.27037991702766,3.55975345500019,1.76551767587789,-1.46386000288715,3.48291013512485,2.54480607672618,3.15055055133651,2.2596826258368,2.4436756141478,1.86355171732775,1.53009251908396,1.55460112713339,2.01962784050485,1.59136992669293,2.61005765896232,2.66767099203955
"9",1979-01-01,6.74111754782859,36.6393011550963,33.3861913460059,2.29358061902813,1.8984297389971,2.5084786750472,-1.1531694321776,-1.25181621933553,2.94172949680314,2.33605643957149,-1.35269964646435,2.9953508371523,2.86016866175531,-1.55581971356407,2.87956340090663,2.46406660398582,-1.46117642063467,4.81609267391838,1.48823376847802,-1.26876976767617,3.62707850965542,1.68531107330345,-1.07283479942216,3.16226944253819,2.17553969957023,-1.07337151587266,3.19083744342279,2.82754465162567,-1.27037991702766,3.55975345500019,1.76551767587789,2.84574973727176,1.73680740438702,2.2596826258368,2.4436756141478,1.86355171732775,1.53009251908396,1.55460112713339,2.01962784050485,1.59136992669293,2.87864730002592
"10",1979-04-01,6.95422994624498,37.599041731261,34.2964223060975,2.72636956596284,2.61942926286183,3.16138083788549,-1.24998574444324,-1.1531694321776,2.5084786750472,2.29358061902813,-1.25181621933553,2.94172949680314,2.33605643957149,-1.35269964646435,2.9953508371523,2.86016866175531,-1.55581971356407,2.87956340090663,2.46406660398582,-1.46117642063467,4.81609267391838,1.48823376847802,-1.26876976767617,3.62707850965542,1.68531107330345,-1.07283479942216,3.16226944253819,2.17553969957023,-1.07337151587266,3.19083744342279,2.82754465162567,2.80072741378192,1.8984297389971,1.73680740438702,2.2596826258368,2.4436756141478,1.86355171732775,1.53009251908396,1.55460112713339,2.01962784050485,2.82440785450002
